OrderID,Date,Customer,Region,Category,MenuItem,Quantity,Price,Sales
1001,01-01-2023,Customer_58,North,Asian,Salad,4,657,2628
1002,01-01-2023,Customer_13,South,Fast Food,Salad,5,675,3375
1003,01-01-2023,Customer_141,West,Main Course,Tacos,3,229,687
1004,01-01-2023,Customer_126,North,Fast Food,Tacos,5,921,4605
1005,02-01-2023,Customer_115,North,Asian,Sushi,5,462,2310
1006,02-01-2023,Customer_72,West,Healthy,Curry,2,804,1608
1007,02-01-2023,Customer_53,West,Asian,Salad,3,918,2754
1008,03-01-2023,Customer_280,East,Healthy,Sandwich,3,792,2376
1009,03-01-2023,Customer_45,North,Asian,Curry,3,391,1173
1010,03-01-2023,Customer_217,West,Main Course,Salad,5,470,2350
1011,04-01-2023,Customer_17,South,Healthy,Noodles,4,893,3572
1012,04-01-2023,Customer_16,North,Healthy,Steak,3,128,384
1013,04-01-2023,Customer_48,East,Fast Food,Tacos,5,248,1240
1014,04-01-2023,Customer_112,West,Asian,Steak,2,878,1756
1015,05-01-2023,Customer_120,North,Continental,Burger,4,395,1580
1016,05-01-2023,Customer_259,North,Continental,Pizza,2,110,220
1017,05-01-2023,Customer_14,West,Fast Food,Noodles,4,611,2444
1018,06-01-2023,Customer_288,West,Asian,Sushi,5,775,3875
1019,06-01-2023,Customer_102,West,Main Course,Noodles,1,212,212
1020,06-01-2023,Customer_280,North,Fast Food,Steak,4,286,1144
1021,07-01-2023,Customer_215,West,Healthy,Steak,2,906,1812
1022,07-01-2023,Customer_113,West,Main Course,Salad,5,843,4215
1023,07-01-2023,Customer_230,North,Asian,Salad,4,326,1304
1024,07-01-2023,Customer_143,North,Healthy,Burger,1,409,409
1025,08-01-2023,Customer_4,East,Continental,Curry,1,197,197
1026,08-01-2023,Customer_82,South,Asian,Burger,3,154,462
1027,08-01-2023,Customer_217,North,Healthy,Sushi,3,722,2166
1028,09-01-2023,Customer_175,South,Asian,Salad,2,763,1526
1029,09-01-2023,Customer_143,East,Healthy,Sushi,4,857,3428
1030,09-01-2023,Customer_80,East,Asian,Salad,4,505,2020
1031,10-01-2023,Customer_111,West,Continental,Salad,3,168,504
1032,10-01-2023,Customer_173,East,Fast Food,Salad,4,411,1644
1033,10-01-2023,Customer_53,West,Healthy,Sandwich,4,388,1552
1034,11-01-2023,Customer_48,West,Healthy,Pasta,1,861,861
1035,11-01-2023,Customer_195,North,Continental,Noodles,3,647,1941
1036,11-01-2023,Customer_50,North,Fast Food,Sandwich,5,850,4250
1037,11-01-2023,Customer_184,South,Asian,Pizza,3,247,741
1038,12-01-2023,Customer_177,West,Healthy,Steak,5,566,2830
1039,12-01-2023,Customer_136,West,Fast Food,Tacos,1,838,838
1040,12-01-2023,Customer_23,South,Asian,Sushi,2,343,686
1041,13-01-2023,Customer_236,West,Healthy,Pasta,4,590,2360
1042,13-01-2023,Customer_275,East,Healthy,Pizza,1,948,948
1043,13-01-2023,Customer_64,West,Asian,Curry,4,606,2424
1044,14-01-2023,Customer_194,West,Continental,Salad,2,464,928
1045,14-01-2023,Customer_41,West,Fast Food,Salad,2,581,1162
1046,14-01-2023,Customer_283,North,Healthy,Tacos,1,300,300
1047,14-01-2023,Customer_151,East,Asian,Tacos,2,253,506
1048,15-01-2023,Customer_186,West,Healthy,Tacos,5,549,2745
1049,15-01-2023,Customer_296,East,Asian,Pizza,2,600,1200
1050,15-01-2023,Customer_99,East,Healthy,Steak,4,172,688
1051,16-01-2023,Customer_36,East,Main Course,Steak,4,812,3248
1052,16-01-2023,Customer_24,South,Continental,Sandwich,4,395,1580
1053,16-01-2023,Customer_117,West,Fast Food,Sushi,4,116,464
1054,17-01-2023,Customer_149,North,Continental,Sandwich,5,740,3700
1055,17-01-2023,Customer_41,North,Continental,Noodles,3,316,948
1056,17-01-2023,Customer_120,North,Fast Food,Curry,1,160,160
1057,18-01-2023,Customer_52,North,Continental,Sushi,4,715,2860
1058,18-01-2023,Customer_195,West,Main Course,Noodles,2,141,282
1059,18-01-2023,Customer_143,North,Asian,Salad,4,124,496
1060,18-01-2023,Customer_233,East,Fast Food,Pasta,2,138,276
1061,19-01-2023,Customer_187,South,Asian,Noodles,2,902,1804
1062,19-01-2023,Customer_84,North,Healthy,Pasta,4,230,920
1063,19-01-2023,Customer_190,East,Main Course,Salad,5,597,2985
1064,20-01-2023,Customer_182,North,Asian,Burger,2,328,656
1065,20-01-2023,Customer_108,West,Asian,Curry,2,207,414
1066,20-01-2023,Customer_137,East,Fast Food,Pasta,4,271,1084
1067,21-01-2023,Customer_37,West,Healthy,Salad,2,534,1068
1068,21-01-2023,Customer_88,North,Fast Food,Noodles,2,577,1154
1069,21-01-2023,Customer_274,East,Healthy,Pasta,4,201,804
1070,21-01-2023,Customer_126,East,Fast Food,Sushi,4,965,3860
1071,22-01-2023,Customer_84,East,Asian,Burger,1,623,623
1072,22-01-2023,Customer_237,North,Asian,Sandwich,5,374,1870
1073,22-01-2023,Customer_195,South,Main Course,Sushi,5,712,3560
1074,23-01-2023,Customer_139,South,Asian,Sandwich,2,143,286
